species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Streptopelia turtur,Andalucía,La Línea--Parque Princesa Sofía,2017-05-05,5,36.157764,-5.345235,4.0
Streptopelia turtur,Extremadura,San Rafael de Olivenza,2017-04-27,4,38.72389,-7.036958,1.0
Streptopelia turtur,Extremadura,Mirandilla--Llanos al sur,2017-05-09,5,38.969425,-6.284682,1.0
Streptopelia turtur,Extremadura,38.685x-6.185 - 13 May 2017 10:14,2017-05-13,5,38.684807,-6.185121,1.0
Streptopelia turtur,Cataluña,Barcelona--Jardins del Mirador del Migdia,2017-09-18,9,41.3587,2.151475,1.0
Streptopelia turtur,Andalucía,Cabo Gata PNat--Rambla Morales,2017-09-19,9,36.795506,-2.256617,2.0
Streptopelia turtur,Extremadura,ES-Extremadura - 38.77x-6.133 - 8 May 2017 09:59,2017-05-08,5,38.770016,-6.133089,1.0
Streptopelia turtur,Extremadura,Mirandilla--Llanos al sur,2017-05-09,5,38.969425,-6.284682,1.0
Streptopelia turtur,Aragón,Vistabella--Río Huerva,2017-07-02,7,41.214973,-1.132893,0.0
Streptopelia turtur,Cataluña,Villa Alta Vista,2017-06-15,6,41.72555,2.874247,1.0
Streptopelia turtur,Extremadura,"Corchuelas-10 (39,818, -5,973)",2017-05-03,5,39.817677,-5.970236,2.0
Streptopelia turtur,Galicia,granja san claudio,2017-04-26,4,43.6614,-7.876038,4.0
Streptopelia turtur,Castilla y León,Ledesma--Rivera de La Valmuza (Peñamecer-El Cerezo),2017-05-27,5,41.06563,-5.965513,2.0
Streptopelia turtur,Extremadura,Villar del Rey steppes,2017-05-11,5,39.094166,-6.826329,2.0
Streptopelia turtur,Castilla y León,Pedraza--pueblo y alrededores,2017-05-06,5,41.13185,-3.811125,0.0
Streptopelia turtur,Andalucía,EDAR Fiñana,2017-08-16,8,37.167904,-2.827202,0.0
Streptopelia turtur,Extremadura,"Corchuelas-16 (39,817, -5,968)",2017-05-26,5,39.813457,-5.943221,1.0
Streptopelia turtur,Cataluña,Delta de l'Ebre PNat--Càmping Els Eucaliptus,2017-04-25,4,40.656826,0.779842,2.0
Streptopelia turtur,Cataluña,Timoneda d'Alfés,2017-05-07,5,41.548283,0.651359,7.0
Streptopelia turtur,Extremadura,Monfragüe PN--Portilla del Tiétar,2017-06-09,6,39.857,-5.959775,2.0
Streptopelia turtur,Illes Baleares,Sa Cabaneta,2017-04-10,4,39.62027,2.748207,1.0
Streptopelia turtur,Andalucía,La Línea--Parque Princesa Sofía,2017-05-03,5,36.157764,-5.345235,2.0
Streptopelia turtur,Andalucía,Llanos de Abrucena,2017-07-14,7,37.16964,-2.79579,10.0
Streptopelia turtur,Extremadura,ES-Cabeza del Buey-Unnamed Road - 38.866x-5.314 - 4 May 2017 21:54,2017-05-04,5,38.865925,-5.313582,1.0
Streptopelia turtur,Cataluña,Abocador Comarcal del Segrià/Lleida,2017-05-11,5,41.53753,0.614801,0.0
Streptopelia turtur,Cataluña,"41.4945x0.7029 - May 17, 2017, 3:16 PM",2017-05-17,5,41.494465,0.702906,10.0
Streptopelia turtur,Castilla y León,Martiago--Risco de Martiago,2017-06-15,6,40.49538,-6.49359,1.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-06,5,39.142498,2.938875,7.0
Streptopelia turtur,Andalucía,Ribera de la Algaida,2017-05-21,5,36.78677,-2.596674,0.0
Streptopelia turtur,Andalucía,Cabo Gata PNat--Rambla Morales,2017-06-24,6,36.795506,-2.256617,0.0
Streptopelia turtur,Castilla-La Mancha,"Dehesa De La Atalaya, Cuenca",2017-05-06,5,39.96389,-2.06917,3.0
Streptopelia turtur,Illes Baleares,Parc Nacional de l'Arxipèlag de Cabrera,2017-05-07,5,39.142498,2.938875,2.0
Streptopelia turtur,Castilla y León,Topas--Monte de San Cristóbal,2017-08-20,8,41.226036,-5.667638,3.0
Streptopelia turtur,Cataluña,"41.4945x0.7029 - May 17, 2017, 3:16 PM",2017-05-17,5,41.494465,0.702906,10.0
Streptopelia turtur,Extremadura,Corchuelas-14,2017-05-26,5,39.80867,-5.945148,3.0
Streptopelia turtur,Andalucía,Cabo Gata PNat--Rambla Morales,2017-06-24,6,36.795506,-2.256617,0.0
Streptopelia turtur,Castilla-La Mancha,Laguna del Taray,2017-09-17,9,39.531925,-3.323078,0.0
Streptopelia turtur,Cataluña,Estany d'Ivars--Area general,2017-04-02,4,41.68176,0.948129,1.0
Streptopelia turtur,Castilla y León,Hoces del Río Riaza PNat--Area General,2017-07-15,7,41.544697,-3.596191,2.0
Streptopelia turtur,Extremadura,La Cumbre--Los Cerralbos,2017-05-13,5,39.473297,-6.024247,4.0
Streptopelia turtur,Castilla y León,Camino de Salas a La Revilla,2017-05-27,5,42.008484,-3.323164,2.0
Streptopelia turtur,Andalucía,Charca de Suárez—Motril,2017-07-13,7,36.72478,-3.540816,1.0
Streptopelia turtur,Navarra Comunidad Foral de,Embalse de Las Cañas RN,2017-07-21,7,42.48343,-2.402744,1.0
Streptopelia turtur,Andalucía,Azuel. Arroyo la Sierra,2017-06-17,6,38.385986,-4.390465,2.0
Streptopelia turtur,Galicia,Cospeito--Barreiras de Arcillá,2017-06-18,6,43.186012,-7.576766,2.0
Streptopelia turtur,Valenciana Comunidad,Marjal dels Moros,2017-06-14,6,39.62096,-0.256934,1.0
Streptopelia turtur,Castilla y León,Cañón de Río Lobos PNat--Area General,2017-08-15,8,41.789616,-3.107285,1.0
Streptopelia turtur,Galicia,"A Tellada - Río Loio, Galicia, ES (42,787, -7,591)",2017-07-07,7,42.78679,-7.590921,2.0
Streptopelia turtur,Castilla y León,Quintanilla de las Viñas--Peña Lara,2017-07-01,7,42.129665,-3.473388,2.0
Streptopelia turtur,Andalucía,la janda,2017-06-15,6,36.255497,-5.851086,6.0
Streptopelia turtur,Andalucía,La Janda--Área General,2017-09-09,9,36.238476,-5.788976,30.0
Streptopelia turtur,Castilla y León,Lagunas de Atapuerca,2017-08-08,8,42.383644,-3.503598,1.0
Streptopelia turtur,Cataluña,Delta del Llobregat PNat--Espais Naturals del Riu (Area General),2017-05-01,5,41.30586,2.120254,3.0
Streptopelia turtur,Navarra Comunidad Foral de,Embalse de Las Cañas RN,2017-06-24,6,42.48343,-2.402744,2.0
Streptopelia turtur,Castilla-La Mancha,Zona esteparia Torrubia-Horcajo de Santiago,2017-04-30,4,39.887318,-2.983066,0.0
Streptopelia turtur,Navarra Comunidad Foral de,"Ablitas--Peñadil, Montecillo y Monterrey ZEC",2017-05-14,5,41.93355,-1.568058,4.0
Streptopelia turtur,Andalucía,La Janda--Área General,2017-03-01,3,36.238476,-5.788976,1.0
Streptopelia turtur,Andalucía,Fiñana--Pueblo,2017-06-10,6,37.17104,-2.841132,0.0
Streptopelia turtur,Castilla y León,Aldeamayor de San Martín,2017-06-22,6,41.529526,-4.590573,1.0
Streptopelia turtur,Extremadura,"Corchuelas-8 (39,82, -5,988)",2017-05-26,5,39.819935,-5.988015,3.0
Streptopelia turtur,Castilla y León,Arribes del Duero PNat--Fermoselle-La Cicutina,2017-06-02,6,41.282913,-6.385873,2.0
Streptopelia turtur,Aragón,Mallos de Riglos,2017-05-08,5,42.34903,-0.724754,2.0
Streptopelia turtur,Extremadura,"Corchuelas-9 (39,819, -5,98)",2017-05-26,5,39.818764,-5.97988,2.0
Streptopelia turtur,Cataluña,Estany d'Ivars--Area general,2017-05-06,5,41.68176,0.948129,4.0
Streptopelia turtur,Andalucía,La Janda--Puente del Pericón,2017-07-25,7,36.246727,-5.836309,0.0
Streptopelia turtur,Castilla y León,Narros de Matalayegua,2017-07-10,7,40.699165,-5.926802,1.0
Streptopelia turtur,Castilla y León,El Parral--Peña del Gato,2017-07-12,7,40.78212,-4.98554,3.0
Streptopelia turtur,Castilla y León,Rábano--Pico de El Otero,2017-05-14,5,41.54023,-4.059776,1.0
Streptopelia turtur,Castilla y León,Arribes del Duero PNat--Rivera de Dos Casas,2017-07-01,7,40.820847,-6.771968,1.0
Streptopelia turtur,Canarias,Vega de Río Palmas--Emb. de las Penitas,2017-04-09,4,28.3884,-14.098044,4.0
Streptopelia turtur,Andalucía,Motril River Mouth,2017-08-04,8,36.719414,-3.512654,1.0
Streptopelia turtur,Extremadura,Corchuelas-17,2017-05-03,5,39.815205,-5.939848,4.0
Streptopelia turtur,Andalucía,EDAR Fiñana,2017-09-02,9,37.167904,-2.827202,1.0
Streptopelia turtur,Extremadura,"Corchuelas-9 (39,819, -5,98)",2017-05-03,5,39.818764,-5.97988,5.0
Streptopelia turtur,Andalucía,Río Andarax--Desembocadura,2017-06-25,6,36.811935,-2.429115,1.0
Streptopelia turtur,Castilla y León,Topas--Monte de San Cristóbal,2017-08-20,8,41.226036,-5.667638,3.0
Streptopelia turtur,Extremadura,"Corchuelas-16 (39,817, -5,968)",2017-05-03,5,39.813457,-5.943221,1.0
