species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,270.0
Grus grus,Cataluña,Vilanova i la Geltrú--town centre,2017-11-29,11,41.225143,1.72259,200.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,41.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,190.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-14,10,43.02716,-1.356211,77.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,6.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,252.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,290.0
Grus grus,Castilla-La Mancha,"13779, Viso del Marqués ES-Castille-La Mancha (38.5348,-3.5007)",2017-12-08,12,38.534786,-3.500722,25.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,328.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,102.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,221.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,164.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,8.0
Grus grus,Madrid Comunidad de,Sureste PNat--Laguna de El Campillo,2017-10-14,10,40.320396,-3.504252,4.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,599.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,310.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,198.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,300.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,19.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,49.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,126.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,114.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-15,11,43.02716,-1.356211,190.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-02,11,43.02716,-1.356211,90.0
Grus grus,Extremadura,Censos de grulla (Vegas del Tiétar-Monfragüe),2017-12-17,12,39.9085,-5.907619,1464.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,52.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-31,10,43.02716,-1.356211,210.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-10-25,10,43.02716,-1.356211,60.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,497.0
Grus grus,Andalucía,North-edge Donana NP,2017-02-08,2,37.129486,-6.490257,1.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-07,11,43.02716,-1.356211,27.0
Grus grus,Navarra Comunidad Foral de,Lindus,2017-11-03,11,43.02716,-1.356211,114.0
