species,stateProvince,locality,fecha,month,decimalLatitude,decimalLongitude,individualCount
Passer domesticus,La Rioja,Nájera-Tricio,2017-10-26,10,42.41093,-2.722689,25.0
Passer domesticus,Illes Baleares,Embassament de Cúber,2017-05-03,5,39.781696,2.791708,8.0
Passer domesticus,Illes Baleares,Villa Llompart,2017-10-17,10,39.85407,3.062848,0.0
Passer domesticus,Castilla y León,Santa María del Páramo--La Huerga,2017-06-15,6,42.352222,-5.785528,5.0
Passer domesticus,Castilla y León,"Casasola de Arión, Castilla y León, ES (41,566, -5,241)",2017-07-12,7,41.577488,-5.240251,0.0
Passer domesticus,Castilla y León,Embalse del Ebro--Cabañas de Virtus,2017-05-13,5,43.003517,-3.887958,5.0
Passer domesticus,Cataluña,Coll de Montllobar,2017-05-05,5,42.1564,0.7984,50.0
Passer domesticus,Valenciana Comunidad,Cabo de San Antonio--Zona Verde,2017-10-17,10,38.80636,0.185952,2.0
Passer domesticus,Illes Baleares,Parc dels Pins (Port de Pollença),2017-05-08,5,39.911537,3.085216,0.0
Passer domesticus,Castilla y León,Navarredonda de Gredos--Pinares,2017-06-03,6,40.345627,-5.119441,0.0
Passer domesticus,Illes Baleares,"Sa Roca/es Cibollar/C. Informació, P.N. s'Albufera de Mallorca",2017-05-02,5,39.79685,3.10544,23.0
Passer domesticus,Andalucía,Charca de Suárez—Motril,2017-10-07,10,36.72478,-3.540816,0.0
Passer domesticus,Castilla y León,Candeleda--Pueblo,2017-10-28,10,40.1548,-5.240901,0.0
Passer domesticus,Castilla y León,Abioncillo de Calatañazor,2017-08-06,8,41.703533,-2.865782,16.0
Passer domesticus,Andalucía,Río Andarax--Desembocadura,2017-11-24,11,36.811935,-2.429115,0.0
Passer domesticus,Cataluña,Riu Segre a Sant Pere (La Seu d'Urgell),2017-05-01,5,42.35829,1.481395,0.0
Passer domesticus,Andalucía,Palacio de la Alhambra,2017-05-11,5,37.175232,-3.58713,1.0
Passer domesticus,Castilla y León,Palazuelos a Segovia,2017-07-24,7,40.931087,-4.076727,0.0
Passer domesticus,Illes Baleares,La Gola - Port de Pollença,2017-05-04,5,39.902863,3.077374,0.0
Passer domesticus,Extremadura,Monfragüe PN--General (use specific hotspot if possible),2017-05-08,5,39.828617,-6.002726,1.0
Passer domesticus,Castilla y León,Candeleda--Embalse del Rincón,2017-07-01,7,40.10868,-5.196876,0.0
Passer domesticus,Andalucía,Granada--Río Genil,2017-01-01,1,37.16726,-3.598391,8.0
Passer domesticus,Illes Baleares,"Sa Roca/es Cibollar/C. Informació, P.N. s'Albufera de Mallorca",2017-10-18,10,39.79685,3.10544,0.0
Passer domesticus,Andalucía,La Breña y Marismas de Barbate PNat--El Cañillo,2017-03-30,3,36.17527,-5.891442,0.0
Passer domesticus,Illes Baleares,Parc dels Pins (Port de Pollença),2017-05-04,5,39.911537,3.085216,0.0
Passer domesticus,Illes Baleares,Villa Llompart,2017-10-12,10,39.85407,3.062848,0.0
Passer domesticus,Illes Baleares,La Gola - Port de Pollença,2017-05-09,5,39.902863,3.077374,0.0
Passer domesticus,Andalucía,La Janda--Canal Principal Este,2017-09-26,9,36.21931,-5.782975,0.0
Passer domesticus,Cataluña,Riu Segre entre Sanavastre i Torrent de Cobertrada,2017-06-05,6,42.38898,1.847889,20.0
Passer domesticus,Illes Baleares,Port de Sóller,2017-05-07,5,39.795883,2.696028,0.0
Passer domesticus,Madrid Comunidad de,El Pardo--pueblo,2017-03-01,3,40.520775,-3.777237,0.0
Passer domesticus,Illes Baleares,La Gola - Port de Pollença,2017-05-03,5,39.902863,3.077374,0.0
Passer domesticus,Illes Baleares,Parc dels Pins (Port de Pollença),2017-05-09,5,39.911537,3.085216,0.0
Passer domesticus,Valenciana Comunidad,Crevillente--Casco urbano,2017-10-05,10,38.247902,-0.808605,6.0
Passer domesticus,Valenciana Comunidad,El Hondo PNat--Observatorio Reserva,2017-09-16,9,38.16749,-0.72293,0.0
Passer domesticus,Extremadura,Soto Del Guadiana--Villanueva De La Serena ,2017-04-21,4,39.018696,-5.793103,0.0
Passer domesticus,Illes Baleares,"Sa Roca/es Cibollar/C. Informació, P.N. s'Albufera de Mallorca",2017-10-20,10,39.79685,3.10544,0.0
Passer domesticus,Andalucía,Río Andarax--Desembocadura,2017-11-17,11,36.811935,-2.429115,0.0
Passer domesticus,Andalucía,Puerto de Tarifa,2017-05-10,5,36.009357,-5.604173,0.0
Passer domesticus,Castilla y León,Laguna de la Iglesia,2017-07-05,7,41.203495,-4.56866,0.0
Passer domesticus,Extremadura,Malpartida de Plasencia--Pueblo,2017-04-24,4,39.97792,-6.045273,7.0
Passer domesticus,Illes Baleares,Port de Pollenca Seafront,2017-05-03,5,39.90885,3.085156,0.0
Passer domesticus,Castilla y León,Embalse del Ebro--Arija,2017-05-13,5,42.984634,-3.947448,1.0
Passer domesticus,Illes Baleares,Villa Llompart,2017-10-14,10,39.85407,3.062848,0.0
Passer domesticus,Illes Baleares,"Sa Font/Camí dels Polls, P.N. s'Albufera de Mallorca",2017-07-09,7,39.769157,3.089197,0.0
Passer domesticus,Andalucía,Desembocadura del Guadalhorce--Área General,2017-10-08,10,36.672825,-4.456029,10.0
Passer domesticus,Illes Baleares,"Sa Roca/es Cibollar/C. Informació, P.N. s'Albufera de Mallorca",2017-05-04,5,39.79685,3.10544,0.0
Passer domesticus,Aragón,Daroca,2017-05-05,5,41.11469,-1.414161,15.0
Passer domesticus,Asturias Principado de,Robledo de Anayo,2017-08-17,8,43.40612,-5.333984,1.0
Passer domesticus,Galicia,A Coruña--Campos da Torre de Hércules e Punta Herminia,2017-05-25,5,43.385914,-8.403975,1.0
Passer domesticus,Andalucía,Donana Parque National,2017-10-12,10,37.109184,-6.430384,0.0
Passer domesticus,Illes Baleares,Port de Pollenca Seafront,2017-05-09,5,39.90885,3.085156,0.0
Passer domesticus,Castilla y León,"Bouza, Puerto Seguro, Villar de Ciervo y Aldea del Obispo",2017-12-09,12,40.7688,-6.76759,0.0
Passer domesticus,Extremadura,Embalse de Portaje--Cola de Torrejoncillo,2017-10-15,10,39.883266,-6.509099,0.0
Passer domesticus,Madrid Comunidad de,Parque El Retiro-Madrid,2017-07-22,7,40.416504,-3.68351,1.0
Passer domesticus,Madrid Comunidad de,Río Guadarrama PNat--Villaviciosa de Odón,2017-10-24,10,40.350365,-3.947997,0.0
Passer domesticus,Illes Baleares,Faro Capdepera,2017-09-22,9,39.715317,3.47728,0.0
Passer domesticus,Andalucía,"Torregarcía - Rambla de las Amoladeras, Almería, Andalucía, ES (36.821, -2.288)",2017-10-20,10,36.820747,-2.288471,2.0
Passer domesticus,Aragón,Guara PNat--Alquézar,2017-05-24,5,42.172375,0.024784,0.0
Passer domesticus,Extremadura,Monfragüe PN--Castillo,2017-05-03,5,39.828083,-6.051465,30.0
Passer domesticus,Cataluña,"La Molina, Sagàs",2017-05-01,5,42.01914,1.909561,20.0
Passer domesticus,Andalucía,Tarifa--La Caleta,2017-09-25,9,36.011715,-5.600553,0.0
Passer domesticus,Extremadura,Embalse de Arrocampo--General (use specific hotspot if possible),2017-05-07,5,39.82623,-5.691591,0.0
Passer domesticus,Navarra Comunidad Foral de,Bardenas Reales PNat-Area General,2017-04-29,4,42.18694,-1.485783,0.0
Passer domesticus,Madrid Comunidad de,Estadio Santiago Bernabeu,2017-07-22,7,40.453762,-3.687832,2.0
Passer domesticus,Illes Baleares,Prat de son Bou,2017-07-25,7,39.901474,4.071336,50.0
Passer domesticus,Madrid Comunidad de,Sureste PNat--Lagunas de Velilla de San Antonio,2017-02-19,2,40.363636,-3.49966,1.0
Passer domesticus,Andalucía,Cádiz--Terminal Marítimo,2017-06-16,6,36.53123,-6.288414,0.0
Passer domesticus,Valenciana Comunidad,Crevillente--Casco urbano,2017-10-05,10,38.247902,-0.808605,6.0
Passer domesticus,Aragón,Estepas de Belchite,2017-05-25,5,41.37887,-0.697478,0.0
Passer domesticus,Cataluña,"Pantà 1 de regulació, canal Algerri-Balaguer",2017-03-26,3,41.794632,0.723826,54.0
Passer domesticus,Cataluña,Mas de Melons--Area general,2017-05-26,5,41.49404,0.711322,0.0
Passer domesticus,Castilla-La Mancha,Carranque--Arroyos de San Blas y de Conmaleche,2017-07-22,7,40.182346,-3.934616,0.0
Passer domesticus,Valenciana Comunidad,L'Albufera PNat -- Muntanyeta dels Sants,2017-05-01,5,39.24198,-0.314369,0.0
Passer domesticus,Madrid Comunidad de,Aeropuerto de Madrid-Barajas,2017-05-05,5,40.489914,-3.566608,0.0
Passer domesticus,Illes Baleares,"Sa Roca/es Cibollar/C. Informació, P.N. s'Albufera de Mallorca",2017-05-04,5,39.79685,3.10544,4.0
Passer domesticus,Valenciana Comunidad,La Llosa--La Palafanga,2017-08-15,8,39.75359,-0.186428,100.0
Passer domesticus,Cataluña,"Pantà 1 de regulació, canal Algerri-Balaguer",2017-01-19,1,41.794632,0.723826,90.0
Passer domesticus,Illes Baleares,Mortitx,2017-07-13,7,39.875595,2.918072,0.0
Passer domesticus,Andalucía,Peñón de Jolúcar,2017-12-02,12,36.697155,-3.477476,0.0
Passer domesticus,Aragón,Valles Occidentales PNat--Valle de Hecho,2017-03-25,3,42.798553,-0.726295,12.0
Passer domesticus,Cataluña,"Pantà 1 de regulació, canal Algerri-Balaguer",2017-02-24,2,41.794632,0.723826,105.0
Passer domesticus,Andalucía,"Sierra de Grazalema PNat--Llanos de Libar, Área General",2017-12-29,12,36.72317,-5.279531,10.0
Passer domesticus,Valenciana Comunidad,Valencia--Jardines del Turia,2017-09-30,9,39.477215,-0.370145,15.0
Passer domesticus,Cataluña,Delta del Llobregat PNat--Espais Naturals del Riu (Area General),2017-08-13,8,41.30586,2.120254,1.0
Passer domesticus,Castilla y León,Laguna de la Iglesia,2017-04-26,4,41.203495,-4.56866,0.0
Passer domesticus,Valenciana Comunidad,El Hondo PNat--Ruta Roja,2017-10-05,10,38.200336,-0.761155,10.0
Passer domesticus,País Vasco,Cabo Higer,2017-11-26,11,43.393658,-1.792348,22.0
Passer domesticus,Andalucía,Peñón de Jolúcar,2017-11-04,11,36.697155,-3.477476,0.0
Passer domesticus,Cantabria,Valderredible--Polientes,2017-05-03,5,42.805794,-3.937435,0.0
Passer domesticus,Madrid Comunidad de,Torrejon de Velasco--estepas,2017-06-07,6,40.175472,-3.777607,0.0
