gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3299534310	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1063809795	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Benavista	Andalucía	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	36.466034	-5.031684							2017-06-23T00:00:00	23	6	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1063809795				CC_BY_4_0		obsr1524607			2023-01-24T15:07:08.913Z		CONTINENT_DERIVED_FROM_COORDINATES
3294176003	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ESP:OBS1038828792	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Barranc d'Algendar (Capcelera)	Illes Baleares	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	39.976826	3.98308							2017-09-06T00:00:00	6	9	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD_ESP	OBS1038828792				CC_BY_4_0		obsr1618624			2023-01-24T15:06:00.473Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3293608002	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1106429078	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Laguna Sotillo Bajero	Castilla y León	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	41.251293	-3.97918							2017-07-12T00:00:00	12	7	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1106429078				CC_BY_4_0		obsr944934			2023-01-24T15:06:35.411Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3293525298	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1042054644	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Monfragüe PN--General (use specific hotspot if possible)	Extremadura	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	39.828617	-6.002726							2017-05-08T00:00:00	8	5	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1042054644				CC_BY_4_0		obsr737333			2023-01-24T15:27:44.581Z		CONTINENT_DERIVED_FROM_COORDINATES
3292363133	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1043999731	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Prat de Son Saura	Illes Baleares	PRESENT	15	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.02791	4.155751							2017-07-22T00:00:00	22	7	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1043999731				CC_BY_4_0		obsr789353			2023-01-24T15:10:57.814Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3290669122	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ESP:OBS1107891696	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Rebollar de Navalpotro, ZEC	Castilla-La Mancha	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.94862	-2.591246							2017-05-19T00:00:00	19	5	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD_ESP	OBS1107891696				CC_BY_4_0		obsr1050507			2023-01-24T15:28:55.449Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3290610533	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1044016428	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Prat de son Bou	Illes Baleares	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	39.901474	4.071336							2017-07-25T00:00:00	25	7	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1044016428				CC_BY_4_0		obsr789353			2023-01-24T15:07:37.586Z		CONTINENT_DERIVED_FROM_COORDINATES
3283441010	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1066733314	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	San Sadurniño--Golpilleira (Santa Mariña do Monte)	Galicia	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	43.56761	-8.089025							2017-05-14T00:00:00	14	5	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1066733314				CC_BY_4_0		obsr1195413			2023-01-24T15:28:48.204Z		CONTINENT_DERIVED_FROM_COORDINATES
3282998874	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1045514742	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	Villa Llompart	Illes Baleares	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	39.85407	3.062848							2017-10-12T00:00:00	12	10	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1045514742				CC_BY_4_0		obsr652103			2023-01-24T15:12:38.449Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3279490669	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1051135998	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia turtur		SPECIES	Streptopelia turtur (Linnaeus, 1758)	Streptopelia turtur		ES	sanauja	Cataluña	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	41.85257	1.331806							2017-05-26T00:00:00	26	5	2017	2495708	2495708	HUMAN_OBSERVATION	CLO	EBIRD	OBS1051135998				CC_BY_4_0		obsr106865			2023-01-24T15:11:08.445Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
